page_id,fixture,title_match,legacy_records_count,canonical_extractions_count
18c4750c-f3ba-809d-bbf0-e4a09a9a43b7,fixtures\reading_list\18c4750c-f3ba-809d-bbf0-e4a09a9a43b7.json,False,0,0
18c4750c-f3ba-809e-a037-cd5196ba9d19,fixtures\reading_list\18c4750c-f3ba-809e-a037-cd5196ba9d19.json,False,0,1
18c4750c-f3ba-809e-b264-cc5c5e82618a,fixtures\reading_list\18c4750c-f3ba-809e-b264-cc5c5e82618a.json,False,0,0
18c4750c-f3ba-80ac-9703-c831706583f0,fixtures\reading_list\18c4750c-f3ba-80ac-9703-c831706583f0.json,False,0,1
18c4750c-f3ba-80ac-ab67-e42b16a2ac14,fixtures\reading_list\18c4750c-f3ba-80ac-ab67-e42b16a2ac14.json,False,0,1
18c4750c-f3ba-80af-ab35-e0a6d98ebf39,fixtures\reading_list\18c4750c-f3ba-80af-ab35-e0a6d98ebf39.json,False,0,1
18c4750c-f3ba-80b2-9029-efa0c5901ab0,fixtures\reading_list\18c4750c-f3ba-80b2-9029-efa0c5901ab0.json,False,0,1
18c4750c-f3ba-80b5-9074-ce85e82a7d97,fixtures\reading_list\18c4750c-f3ba-80b5-9074-ce85e82a7d97.json,False,0,1
18c4750c-f3ba-80b7-ab02-f7d1e663534f,fixtures\reading_list\18c4750c-f3ba-80b7-ab02-f7d1e663534f.json,False,0,1
18c4750c-f3ba-80b8-9dba-f168c4835fa1,fixtures\reading_list\18c4750c-f3ba-80b8-9dba-f168c4835fa1.json,False,0,1
18c4750c-f3ba-80c0-a531-d436d3538f58,fixtures\reading_list\18c4750c-f3ba-80c0-a531-d436d3538f58.json,False,0,0
18c4750c-f3ba-80cf-9ffa-ed17065f669a,fixtures\reading_list\18c4750c-f3ba-80cf-9ffa-ed17065f669a.json,False,0,1
18c4750c-f3ba-80d9-b19c-fa43615c73bd,fixtures\reading_list\18c4750c-f3ba-80d9-b19c-fa43615c73bd.json,False,0,1
18c4750c-f3ba-80db-9dce-f1a24760a977,fixtures\reading_list\18c4750c-f3ba-80db-9dce-f1a24760a977.json,False,0,0
18c4750c-f3ba-80dc-a079-da0c4c4ce641,fixtures\reading_list\18c4750c-f3ba-80dc-a079-da0c4c4ce641.json,False,0,1
18c4750c-f3ba-80de-83bf-d970b7615174,fixtures\reading_list\18c4750c-f3ba-80de-83bf-d970b7615174.json,False,0,1
18c4750c-f3ba-80ed-ab50-ddb033db9f04,fixtures\reading_list\18c4750c-f3ba-80ed-ab50-ddb033db9f04.json,False,0,1
18c4750c-f3ba-80f2-aa8d-d6b49f2d3dac,fixtures\reading_list\18c4750c-f3ba-80f2-aa8d-d6b49f2d3dac.json,False,0,1
18c4750c-f3ba-80f2-be86-f501798aef85,fixtures\reading_list\18c4750c-f3ba-80f2-be86-f501798aef85.json,False,0,1
